"REF_DATE","GEO","DGUID","Population group","Age","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991/2006","Canada","2016A000011124","Entire cohort","At 35 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068170","1.1.3.3.3","48.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Both sexes","Life expectancy","Years","308","units ","0","v54068171","1.1.4.1.1","40.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068172","1.1.4.1.2","40.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068173","1.1.4.1.3","40.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Males","Life expectancy","Years","308","units ","0","v54068174","1.1.4.2.1","38.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068175","1.1.4.2.2","38.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068176","1.1.4.2.3","38.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Females","Life expectancy","Years","308","units ","0","v54068177","1.1.4.3.1","43.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068178","1.1.4.3.2","43.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 40 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068179","1.1.4.3.3","43.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Both sexes","Life expectancy","Years","308","units ","0","v54068180","1.1.5.1.1","36.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068181","1.1.5.1.2","36.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068182","1.1.5.1.3","36.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Males","Life expectancy","Years","308","units ","0","v54068183","1.1.5.2.1","33.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068184","1.1.5.2.2","33.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068185","1.1.5.2.3","33.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Females","Life expectancy","Years","308","units ","0","v54068186","1.1.5.3.1","38.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068187","1.1.5.3.2","38.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 45 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068188","1.1.5.3.3","38.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Both sexes","Life expectancy","Years","308","units ","0","v54068189","1.1.6.1.1","31.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068190","1.1.6.1.2","31.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068191","1.1.6.1.3","31.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Males","Life expectancy","Years","308","units ","0","v54068192","1.1.6.2.1","29.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068193","1.1.6.2.2","29.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068194","1.1.6.2.3","29.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Females","Life expectancy","Years","308","units ","0","v54068195","1.1.6.3.1","33.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068196","1.1.6.3.2","33.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068197","1.1.6.3.3","33.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Both sexes","Life expectancy","Years","308","units ","0","v54068198","1.1.7.1.1","27.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068199","1.1.7.1.2","27.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068200","1.1.7.1.3","27.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Males","Life expectancy","Years","308","units ","0","v54068201","1.1.7.2.1","24.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068202","1.1.7.2.2","24.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068203","1.1.7.2.3","24.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Females","Life expectancy","Years","308","units ","0","v54068204","1.1.7.3.1","29.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068205","1.1.7.3.2","29.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068206","1.1.7.3.3","29.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Both sexes","Life expectancy","Years","308","units ","0","v54068207","1.1.8.1.1","22.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068208","1.1.8.1.2","22.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068209","1.1.8.1.3","22.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Males","Life expectancy","Years","308","units ","0","v54068210","1.1.8.2.1","20.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068211","1.1.8.2.2","20.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068212","1.1.8.2.3","20.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Females","Life expectancy","Years","308","units ","0","v54068213","1.1.8.3.1","24.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068214","1.1.8.3.2","24.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068215","1.1.8.3.3","25.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Both sexes","Life expectancy","Years","308","units ","0","v54068216","1.1.9.1.1","18.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068217","1.1.9.1.2","18.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068218","1.1.9.1.3","18.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Males","Life expectancy","Years","308","units ","0","v54068219","1.1.9.2.1","16.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068220","1.1.9.2.2","16.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068221","1.1.9.2.3","16.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Females","Life expectancy","Years","308","units ","0","v54068222","1.1.9.3.1","20.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068223","1.1.9.3.2","20.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068224","1.1.9.3.3","20.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Both sexes","Life expectancy","Years","308","units ","0","v54068225","1.1.10.1.1","15.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068226","1.1.10.1.2","15.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068227","1.1.10.1.3","15.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Males","Life expectancy","Years","308","units ","0","v54068228","1.1.10.2.1","13.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068229","1.1.10.2.2","13.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068230","1.1.10.2.3","13.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Females","Life expectancy","Years","308","units ","0","v54068231","1.1.10.3.1","16.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068232","1.1.10.3.2","16.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068233","1.1.10.3.3","16.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Both sexes","Life expectancy","Years","308","units ","0","v54068234","1.1.11.1.1","11.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068235","1.1.11.1.2","11.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068236","1.1.11.1.3","11.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Males","Life expectancy","Years","308","units ","0","v54068237","1.1.11.2.1","10.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068238","1.1.11.2.2","10.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068239","1.1.11.2.3","10.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Females","Life expectancy","Years","308","units ","0","v54068240","1.1.11.3.1","13.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068241","1.1.11.3.2","13.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068242","1.1.11.3.3","13.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Both sexes","Life expectancy","Years","308","units ","0","v54068243","1.1.12.1.1","9.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068244","1.1.12.1.2","9.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068245","1.1.12.1.3","9.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Males","Life expectancy","Years","308","units ","0","v54068246","1.1.12.2.1","7.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068247","1.1.12.2.2","7.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068248","1.1.12.2.3","7.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Females","Life expectancy","Years","308","units ","0","v54068249","1.1.12.3.1","10.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068250","1.1.12.3.2","10.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068251","1.1.12.3.3","10.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Both sexes","Life expectancy","Years","308","units ","0","v54068252","1.1.13.1.1","6.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068253","1.1.13.1.2","6.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068254","1.1.13.1.3","6.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Males","Life expectancy","Years","308","units ","0","v54068255","1.1.13.2.1","5.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068256","1.1.13.2.2","5.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068257","1.1.13.2.3","5.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Females","Life expectancy","Years","308","units ","0","v54068258","1.1.13.3.1","7.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068259","1.1.13.3.2","7.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068260","1.1.13.3.3","7.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Both sexes","Life expectancy","Years","308","units ","0","v54068261","1.1.14.1.1","5.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068262","1.1.14.1.2","5.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068263","1.1.14.1.3","5.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Males","Life expectancy","Years","308","units ","0","v54068264","1.1.14.2.1","4.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068265","1.1.14.2.2","4.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068266","1.1.14.2.3","4.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Females","Life expectancy","Years","308","units ","0","v54068267","1.1.14.3.1","5.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068268","1.1.14.3.2","5.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068269","1.1.14.3.3","5.5","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Both sexes","Life expectancy","Years","308","units ","0","v54068270","1.2.1.1.1","51.6","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068271","1.2.1.1.2","51.5","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068272","1.2.1.1.3","51.7","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Males","Life expectancy","Years","308","units ","0","v54068273","1.2.1.2.1","48.2","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068274","1.2.1.2.2","48.1","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068275","1.2.1.2.3","48.3","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Females","Life expectancy","Years","308","units ","0","v54068276","1.2.1.3.1","55.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068277","1.2.1.3.2","54.9","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068278","1.2.1.3.3","55.1","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Both sexes","Life expectancy","Years","308","units ","0","v54068279","1.2.2.1.1","46.9","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068280","1.2.2.1.2","46.8","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068281","1.2.2.1.3","46.9","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Males","Life expectancy","Years","308","units ","0","v54068282","1.2.2.2.1","43.6","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068283","1.2.2.2.2","43.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068284","1.2.2.2.3","43.7","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Females","Life expectancy","Years","308","units ","0","v54068285","1.2.2.3.1","50.2","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068286","1.2.2.3.2","50.1","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068287","1.2.2.3.3","50.3","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Both sexes","Life expectancy","Years","308","units ","0","v54068288","1.2.3.1.1","42.2","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068289","1.2.3.1.2","42.1","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068290","1.2.3.1.3","42.3","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Males","Life expectancy","Years","308","units ","0","v54068291","1.2.3.2.1","39.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068292","1.2.3.2.2","38.8","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068293","1.2.3.2.3","39.1","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Females","Life expectancy","Years","308","units ","0","v54068294","1.2.3.3.1","45.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068295","1.2.3.3.2","45.3","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068296","1.2.3.3.3","45.5","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Both sexes","Life expectancy","Years","308","units ","0","v54068297","1.2.4.1.1","37.5","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068298","1.2.4.1.2","37.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068299","1.2.4.1.3","37.6","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Males","Life expectancy","Years","308","units ","0","v54068300","1.2.4.2.1","34.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54068301","1.2.4.2.2","34.3","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54068302","1.2.4.2.3","34.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Females","Life expectancy","Years","308","units ","0","v54068303","1.2.4.3.1","40.6","","","","1"
