"REF_DATE","GEO","DGUID","Population group","Age","Sex","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071355","1.1.6.2.2","96.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072153","1.1.6.2.3","96.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Females","Probability of survival","Years","308","units ","0","v54070571","1.1.6.3.1","97.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071369","1.1.6.3.2","97.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 50 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072167","1.1.6.3.3","97.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Both sexes","Probability of survival","Years","308","units ","0","v54070544","1.1.7.1.1","95.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071342","1.1.7.1.2","95.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072140","1.1.7.1.3","95.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Males","Probability of survival","Years","308","units ","0","v54070558","1.1.7.2.1","94.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071356","1.1.7.2.2","93.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072154","1.1.7.2.3","94.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Females","Probability of survival","Years","308","units ","0","v54070572","1.1.7.3.1","96.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071370","1.1.7.3.2","96.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 55 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072168","1.1.7.3.3","96.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Both sexes","Probability of survival","Years","308","units ","0","v54070545","1.1.8.1.1","92.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071343","1.1.8.1.2","92.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072141","1.1.8.1.3","92.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Males","Probability of survival","Years","308","units ","0","v54070559","1.1.8.2.1","90.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071357","1.1.8.2.2","90.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072155","1.1.8.2.3","90.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Females","Probability of survival","Years","308","units ","0","v54070573","1.1.8.3.1","94.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071371","1.1.8.3.2","94.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 60 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072169","1.1.8.3.3","94.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Both sexes","Probability of survival","Years","308","units ","0","v54070546","1.1.9.1.1","88.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071344","1.1.9.1.2","87.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072142","1.1.9.1.3","88.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Males","Probability of survival","Years","308","units ","0","v54070560","1.1.9.2.1","85.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071358","1.1.9.2.2","85.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072156","1.1.9.2.3","85.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Females","Probability of survival","Years","308","units ","0","v54070574","1.1.9.3.1","90.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071372","1.1.9.3.2","90.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 65 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072170","1.1.9.3.3","90.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Both sexes","Probability of survival","Years","308","units ","0","v54070547","1.1.10.1.1","81.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071345","1.1.10.1.2","81.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072143","1.1.10.1.3","81.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Males","Probability of survival","Years","308","units ","0","v54070561","1.1.10.2.1","76.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071359","1.1.10.2.2","76.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072157","1.1.10.2.3","76.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Females","Probability of survival","Years","308","units ","0","v54070575","1.1.10.3.1","85.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071373","1.1.10.3.2","85.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 70 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072171","1.1.10.3.3","85.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Both sexes","Probability of survival","Years","308","units ","0","v54070548","1.1.11.1.1","71.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071346","1.1.11.1.2","71.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072144","1.1.11.1.3","71.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Males","Probability of survival","Years","308","units ","0","v54070562","1.1.11.2.1","64.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071360","1.1.11.2.2","64.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072158","1.1.11.2.3","64.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Females","Probability of survival","Years","308","units ","0","v54070576","1.1.11.3.1","78.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071374","1.1.11.3.2","78.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 75 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072172","1.1.11.3.3","78.3","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Both sexes","Probability of survival","Years","308","units ","0","v54070549","1.1.12.1.1","57.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071347","1.1.12.1.2","57.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072145","1.1.12.1.3","58.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Males","Probability of survival","Years","308","units ","0","v54070563","1.1.12.2.1","48.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071361","1.1.12.2.2","48.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072159","1.1.12.2.3","49.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Females","Probability of survival","Years","308","units ","0","v54070577","1.1.12.3.1","66.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071375","1.1.12.3.2","66.6","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 80 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072173","1.1.12.3.3","67.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Both sexes","Probability of survival","Years","308","units ","0","v54070550","1.1.13.1.1","40.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071348","1.1.13.1.2","40.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072146","1.1.13.1.3","41.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Males","Probability of survival","Years","308","units ","0","v54070564","1.1.13.2.1","31.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071362","1.1.13.2.2","30.8","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072160","1.1.13.2.3","31.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Females","Probability of survival","Years","308","units ","0","v54070578","1.1.13.3.1","50.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071376","1.1.13.3.2","50.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 85 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072174","1.1.13.3.3","51.1","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Both sexes","Probability of survival","Years","308","units ","0","v54070551","1.1.14.1.1","22.9","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071349","1.1.14.1.2","22.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072147","1.1.14.1.3","23.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Males","Probability of survival","Years","308","units ","0","v54070565","1.1.14.2.1","14.5","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071363","1.1.14.2.2","14.4","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072161","1.1.14.2.3","14.7","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Females","Probability of survival","Years","308","units ","0","v54070579","1.1.14.3.1","31.2","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071377","1.1.14.3.2","31.0","","","","1"
"1991/2006","Canada","2016A000011124","Entire cohort","At 90 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072175","1.1.14.3.3","31.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Both sexes","Probability of survival","Years","308","units ","0","v54070580","1.2.1.1.1","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071378","1.2.1.1.2","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072176","1.2.1.1.3","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Males","Probability of survival","Years","308","units ","0","v54070594","1.2.1.2.1","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071392","1.2.1.2.2","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072190","1.2.1.2.3","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Females","Probability of survival","Years","308","units ","0","v54070608","1.2.1.3.1","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071406","1.2.1.3.2","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 25 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072204","1.2.1.3.3","100.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Both sexes","Probability of survival","Years","308","units ","0","v54070581","1.2.2.1.1","99.5","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071379","1.2.2.1.2","99.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072177","1.2.2.1.3","99.5","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Males","Probability of survival","Years","308","units ","0","v54070595","1.2.2.2.1","99.2","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071393","1.2.2.2.2","99.1","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072191","1.2.2.2.3","99.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Females","Probability of survival","Years","308","units ","0","v54070609","1.2.2.3.1","99.7","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071407","1.2.2.3.2","99.6","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 30 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072205","1.2.2.3.3","99.8","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Both sexes","Probability of survival","Years","308","units ","0","v54070582","1.2.3.1.1","98.8","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071380","1.2.3.1.2","98.7","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072178","1.2.3.1.3","98.9","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Males","Probability of survival","Years","308","units ","0","v54070596","1.2.3.2.1","98.3","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071394","1.2.3.2.2","98.1","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072192","1.2.3.2.3","98.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Females","Probability of survival","Years","308","units ","0","v54070610","1.2.3.3.1","99.3","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Females","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071408","1.2.3.3.2","99.2","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 35 years","Females","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072206","1.2.3.3.3","99.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Both sexes","Probability of survival","Years","308","units ","0","v54070583","1.2.4.1.1","97.9","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Both sexes","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071381","1.2.4.1.2","97.8","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Both sexes","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072179","1.2.4.1.3","98.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Males","Probability of survival","Years","308","units ","0","v54070597","1.2.4.2.1","97.2","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Males","Low 95% confidence interval, life expectancy","Years","308","units ","0","v54071395","1.2.4.2.2","97.0","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Males","High 95% confidence interval, life expectancy","Years","308","units ","0","v54072193","1.2.4.2.3","97.4","","","","1"
"1991/2006","Canada","2016A000011124","Income adequacy quintile 1 (lowest)","At 40 years","Females","Probability of survival","Years","308","units ","0","v54070611","1.2.4.3.1","98.7","","","","1"
